Latitude,Longitude,Fossil_Name,Early_Age,Late_Age,Environment,Country_Code
40.299999,-74.300003,Theropoda,83.6,72.1,estuary/bay,US
40.299999,-74.300003,Hadrosaurus,83.6,72.1,estuary/bay,US
40.299999,-74.300003,Hadrosauridae,83.6,72.1,estuary/bay,US
40.299999,-74.300003,Ornithopoda,83.6,72.1,estuary/bay,US
46.841946,4.432778,Coelurosaurichnus perriauxi,247.2,237.0,terrestrial indet.,FR
46.841946,4.432778,Anchisauripus bibractensis,247.2,237.0,terrestrial indet.,FR
37.466667,-121.216667,Saurolophinae,72.1,66.0,marine indet.,US
46.466389,-104.021111,Triceratops prorsus,72.1,66.0,terrestrial indet.,US
54.133331,13.050000,Emausaurus ernsti,184.2,174.7,marine indet.,DE
28.700001,104.516701,Mamenchisaurus constructus,154.8,145.0,fluvial indet.,CN
-31.101110,-68.904999,Eoraptor lunensis,233.4,227.0,terrestrial indet.,AR
-31.101110,-68.904999,Herrerasaurus ischigualastensis,233.4,227.0,terrestrial indet.,AR
-30.133333,-68.283333,Herrerasaurus ischigualastensis,237.0,227.0,terrestrial indet.,AR
23.350000,80.366699,Titanosauria,72.1,66.0,terrestrial indet.,IN
33.014442,-97.096664,Protohadros byrdi,100.5,93.9,deltaic indet.,US
49.950001,-110.266670,Vagaceratops irvinensis,83.6,72.1,terrestrial indet.,CA
50.733334,-111.300003,Vagaceratops irvinensis,83.6,72.1,terrestrial indet.,CA
50.617344,-1.371491,Iguanodon,125.77,119.5,marine indet.,UK
41.799999,120.733330,Confuciusornis dui,125.77,119.5,lacustrine indet.,CN
22.639444,107.907501,Spinosauridae,121.4,113.0,fluvial-lacustrine indet.,CN
22.639444,107.907501,Sauropoda,121.4,113.0,fluvial-lacustrine indet.,CN
22.639444,107.907501,Tetanurae,121.4,113.0,fluvial-lacustrine indet.,CN
50.618999,-1.352000,Mantellisaurus atherfieldensis,125.77,119.5,terrestrial indet.,UK
50.849998,0.600000,Haestasaurus becklesii,140.6,132.6,terrestrial indet.,UK
29.821943,118.337502,Wannanosaurus yansiensis,72.1,66.0,terrestrial indet.,CN
31.666668,-110.766670,Tyrannosauridae,83.6,72.1,fluvial indet.,US
31.666668,-110.766670,Hadrosauridae,83.6,72.1,fluvial indet.,US
31.666668,-110.766670,Hadrosauridae,83.6,72.1,fluvial indet.,US
35.700001,-107.199997,Menefeeceratops sealeyi,83.6,72.1,fluvial indet.,US
35.700001,-107.199997,Saurornitholestes,83.6,72.1,fluvial indet.,US
29.200001,-103.550003,Agujaceratops mavericus,83.6,72.1,crevasse splay,US
29.200001,-103.550003,Hadrosauridae,83.6,72.1,crevasse splay,US
-15.900000,46.583332,Vorona berivotrensis,72.1,66.0,"""channel""",MG
45.438999,-108.141403,Tenontosaurus tilletti,109.9,93.9,"""channel""",US
45.441387,-108.161667,Tenontosaurus tilletti,121.4,109.9,terrestrial indet.,US
24.671667,102.591942,Sinosaurus triassicus,201.4,192.9,terrestrial indet.,CN
24.671667,102.591942,Yunnanosaurus,201.4,192.9,terrestrial indet.,CN
28.333330,29.116669,Carcharodontosaurus saharicus,100.5,93.9,terrestrial indet.,EG
28.431120,28.914782,Spinosaurus aegyptiacus,100.5,93.9,marginal marine indet.,EG
16.635183,7.935677,Rebbachisauridae,145.0,132.6,terrestrial indet.,NE
16.813019,7.988729,Rebbachisauridae,145.0,132.6,terrestrial indet.,NE
28.083401,9.646162,Sauropoda,161.5,145.0,terrestrial indet.,DZ
28.446388,9.050000,Sauropoda,161.5,145.0,terrestrial indet.,DZ
28.500000,9.566667,Carcharodontosaurus saharicus,145.0,100.5,terrestrial indet.,DZ
28.500000,9.566667,Theropoda,145.0,100.5,terrestrial indet.,DZ
28.500000,9.566667,Rebbachisauridae,145.0,100.5,terrestrial indet.,DZ
27.033333,14.433333,Dinosauria,161.5,100.5,terrestrial indet.,LY
